id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG10709,Prince Zaleski,"Shiel, M. P. (Matthew Phipps)",1865,1947,['en'],80,"{'Private investigators -- England -- Fiction', 'Detective and mystery stories, English'}"
PG10712,"White Jacket; Or, The World on a Man-of-War","Melville, Herman",1819,1891,['en'],145,"{'Sailors -- Fiction', 'Flagellation -- Fiction', 'United States -- History, Naval -- 19th century -- Fiction', 'Naval discipline -- Fiction', 'Sea stories', 'Warships -- Fiction'}"
PG10724,The Store Boy,"Alger, Horatio, Jr.",1832,1899,['en'],31,"{'Swindlers and swindling -- Juvenile fiction', 'New York (N.Y.) -- History -- 1865-1898 -- Juvenile fiction', 'Mystery and detective stories', 'Conduct of life -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Real estate agents -- Juvenile fiction'}"
PG10727,"A Set of Rogues: Namely Christopher Sutton, John Dawson, the Señor Don Sanchez Del Castillo De Castelaña and Moll Dawson; Their Wicked Conspiracy, and a True Account of Their Travels and Adventures","Barrett, Frank",1848,1926,['en'],18,"{'English fiction', 'Pirates -- Fiction', 'Rogues and vagabonds -- Fiction', 'Adventure and adventurers -- Fiction', 'Great Britain -- History -- Charles II, 1660-1685 -- Fiction', 'Impostors and imposture -- Fiction'}"
PG10728,"Christie, the King's Servant: A Sequel to ""Christie's Old Organ""","Walton, O. F., Mrs.",1849,1939,['en'],8,"{'Christian life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction'}"
PG10735,Christmas Eve on Lonesome and Other Stories,"Fox, John, Jr.",1862,1919,['en'],17,"{'Cumberland Mountains -- Fiction', 'Mountain life -- Fiction', 'Kentucky -- Social life and customs -- Fiction'}"
PG10743,Moonfleet,"Falkner, John Meade",1858,1932,['en'],150,"{'England -- Fiction', 'Smugglers -- Fiction', 'Adventure stories', 'Treasure troves -- Fiction'}"
PG1074,The Sea-Wolf,"London, Jack",1876,1916,['en'],1829,"{'Ship captains -- Fiction', 'Sealing ships -- Fiction', 'Sealers (Persons) -- Fiction', 'Arctic regions -- Fiction', 'Sea stories'}"
PG10756,Between Whiles,"Jackson, Helen Hunt",1830,1885,['en'],9,"{'Short stories', 'Fiction'}"
PG1075,The Strength of the Strong,"London, Jack",1876,1916,['en'],336,{'Socialism -- Fiction'}
PG1076,The Wallet of Kai Lung,"Bramah, Ernest",1867,1942,['en'],55,"{'Kai Lung (Fictitious character) -- Fiction', 'Fantasy fiction'}"
PG10777,Probable Sons,"Le Feuvre, Amy",,1929,['en'],6,"{'England -- Fiction', 'Christian life -- Fiction', 'Uncles -- Fiction', 'Interpersonal relations -- Fiction'}"
PG10781,"Deserted: Sailor's Knots, Part 1.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],8,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10782,"Homeward Bound: Sailor's Knots, Part 2.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],9,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10783,"Self-Help: Sailor's Knots, Part 3.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],41,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10784,"Sentence Deferred: Sailor's Knots, Part 4.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],9,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10785,"Matrimonial Openings: Sailor's Knots, Part 5.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],6,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10786,"Odd Man Out: Sailor's Knots, Part 6.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],9,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10787,"The Toll-House: Sailor's Knots, Part 7.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],31,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10788,"Peter's Pence: Sailor's Knots, Part 8.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],8,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10789,"The Head of the Family: Sailor's Knots, Part 9.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],4,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG1078,The Scouts of the Valley,"Altsheler, Joseph A. (Joseph Alexander)",1862,1919,['en'],44,"{'Chemung River Valley (N.Y. and Pa.) -- Fiction', 'Historical fiction', 'Wyoming Valley (Pa.) -- Fiction'}"
PG10790,"Prize Money: Sailor's Knots, Part 10.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],8,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10791,"Double Dealing: Sailor's Knots, Part 11.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],6,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10792,"Keeping Up Appearances: Sailor's Knots, Part 12.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],6,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10793,Sailors' Knots (Entire Collection),"Jacobs, W. W. (William Wymark)",1863,1943,['en'],84,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG107,Far from the Madding Crowd,"Hardy, Thomas",1840,1928,['en'],858,"{'Women farmers -- Fiction', 'Pastoral fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Wessex (England) -- Fiction', 'Farm life -- Fiction', 'Love stories', 'Didactic fiction'}"
PG10816,"The Giant Hands; or, the Reward of Industry","Crowquill, Alfred",1804,1872,['en'],6,"{'Conduct of life -- Juvenile fiction', 'Fairy tales', 'Work ethic -- Juvenile fiction', 'Ghouls and ogres -- Juvenile fiction', 'Mothers and sons -- Juvenile fiction'}"
