id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG12115,"Discoveries in Australia, Volume 1.: With an Account of the Coasts and Rivers Explored and Surveyed During; The Voyage of H.M.S. Beagle, in the Years 1837-38-39-40-41-42-43.; By Command of the Lords Commissioners of the Admiralty. Also a Narrative; Of Captain Owen Stanley's Visits to the Islands in the Arafura Sea.","Stokes, John Lort",1811,1885,['en'],39,"{'Natural history -- Australia', 'Australia -- Discovery and exploration', 'Australia -- Description and travel'}"
PG12138,The History of University Education in Maryland: The Johns Hopkins University (1876-1891). With supplementary notes on university extension and the university of the future,"Steiner, Bernard C. (Bernard Christian)",1867,1926,['en'],9,"{'Johns Hopkins University -- History', 'Universities and colleges -- Maryland -- History'}"
PG12255,"The Egyptian Conception of Immortality: The Ingersoll Lecture, 1911","Reisner, George Andrew",1867,1942,['en'],19,"{'Eschatology, Egyptian', 'Immortality'}"
PG1225,Faraday as a Discoverer,"Tyndall, John",1820,1893,['en'],60,"{'Physicists -- Great Britain -- Biography', 'Faraday, Michael, 1791-1867'}"
PG12296,"Camps and Trails in China: A Narrative of Exploration, Adventure, and Sport in Little-Known China","Andrews, Roy Chapman",1884,1960,['en'],119,"{'Natural history -- China -- Yunnan Sheng', 'Hunting -- China -- Yunnan Sheng', 'Andrews, Roy Chapman, 1884-1960', 'China -- Social life and customs -- 1912-1949', 'Andrews, Yvette Borup', 'China -- Description and travel', 'Zoology -- China -- Yunnan Sheng', 'Asiatic Zoölogical Expedition (1916-1917)', 'Yunnan Sheng (China) -- Description and travel', 'Heller, Edmund, 1875-1939'}"
PG12297,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume III, Florida Narratives",United States. Work Projects Administration,,,['en'],121,"{'African Americans -- Florida -- Biography', 'Slave narratives -- Florida', 'Slaves -- United States -- Biography'}"
PG12298,The Grand Cañon of the Colorado,"Muir, John",1838,1914,['en'],14,{'Grand Canyon (Ariz.) -- Description and travel'}
PG12299,"The Mechanical Properties of Wood: Including a Discussion of the Factors Affecting the Mechanical Properties, and Methods of Timber Testing","Record, Samuel J. (Samuel James)",1881,1945,['en'],494,"{'Wood -- Testing', 'Wood'}"
PG12320,Civilization and Beyond: Learning from History,"Nearing, Scott",1883,1983,['en'],6,{'Civilization -- History'}
PG1233,The Origin and Nature of the Emotions; Miscellaneous Papers,"Crile, George Washington",1864,1943,['en'],37,"{'Psychophysiology', 'Emotions'}"
PG12363,"The Botanist's Companion, Volume II: Or an Introduction to the Knowledge of Practical Botany, and the Uses of Plants. Either Growing Wild in Great Britain, or Cultivated for the Puroses of Agriculture, Medicine, Rural Oeconomy, or the Arts","Salisbury, William",,1823,['en'],18,{'Plants -- Great Britain'}
PG12887,Laugh and Live,"Fairbanks, Douglas",1883,1939,['en'],35,{'Happiness'}
PG1320,"Criminal Psychology: A Manual for Judges, Practitioners, and Students","Gross, Hans",1847,1915,['en'],344,"{'Criminal anthropology', 'Evidence (Law)', 'Psychology, Pathological', 'Criminal psychology'}"
PG13249,Our Vanishing Wild Life: Its Extermination and Preservation,"Hornaday, William T. (William Temple)",1854,1937,['en'],234,"{'Wildlife conservation -- United States', 'Game-laws -- United States'}"
